업종명,업소명,소재지(도로명),소재지(지번),영업자시작일,업태명
일반음식점,운남쌀국수,"서울특별시 동대문구 휘경로 18-1, 2층 (이문동)",서울특별시 동대문구 이문동 305-64 2층 ,2022-08-05,중국식
일반음식점,꼬치앤술,"서울특별시 동대문구 천호대로85길 31, 1층 (장안동)",서울특별시 동대문구 장안동 433-13 1층 ,2022-03-30,호프/통닭
일반음식점,루프탑다이닝,"서울특별시 동대문구 왕산로2길 9, 3층 (신설동)",서울특별시 동대문구 신설동 98-17 3층 ,2017-02-06,한식
일반음식점,크레이저(C.Razer),"서울특별시 동대문구 천장산로 32-2, 지상1층~지하1층 (이문동)",서울특별시 동대문구 이문동 264-171 ,2014-11-26,경양식
일반음식점,마포연탄불갈비,"서울특별시 동대문구 천호대로77길 97, 1층 (장안동)",서울특별시 동대문구 장안동 216-6 1층 ,2015-12-16,한식
일반음식점,큰집닭강정,"서울특별시 동대문구 전농로 91, 1층 (답십리동)",서울특별시 동대문구 답십리동 244-1 ,2018-04-02,기타
일반음식점,미성,"서울특별시 동대문구 이문로25길 22, 지하1층 (이문동)",서울특별시 동대문구 이문동 283-6 ,2021-04-02,한식
일반음식점,대박삼겹김치찜&초대박등갈비김치찜(장안동점),"서울특별시 동대문구 사가정로 222, 1층 (장안동)",서울특별시 동대문구 장안동 103-1 1층 ,2022-07-06,한식
일반음식점,고향식당,"서울특별시 동대문구 장한로34길 30, 1층 (장안동)",서울특별시 동대문구 장안동 326-9 ,2020-05-14,뷔페식
일반음식점,이기자한우,"서울특별시 동대문구 장한로27길 21, 1층 (장안동)",서울특별시 동대문구 장안동 295-4 1층 ,2014-12-12,한식
일반음식점,진한순대국,"서울특별시 동대문구 천호대로83길 52, 1층 (장안동)",서울특별시 동대문구 장안동 430-9 1층 ,2014-12-15,한식
일반음식점,라이브,"서울특별시 동대문구 홍릉로 51, 지하1층 (청량리동)",서울특별시 동대문구 청량리동 607 지하1층 ,2014-12-18,호프/통닭
일반음식점,경동포차,"서울특별시 동대문구 약령서길 20, 1층 (제기동)",서울특별시 동대문구 제기동 892-6 1층 ,2019-01-15,경양식
일반음식점,어반테라스(Urban Terrace),"서울특별시 동대문구 장안벚꽃로 167, 1층 102,103호 (장안동, 래미안2차상가)",서울특별시 동대문구 장안동 329-3 래미안2차상가1층102.103호 ,2014-12-26,까페
일반음식점,홍어일번지,"서울특별시 동대문구 장한로12길 8, 1층 (장안동)",서울특별시 동대문구 장안동 436-2 1층 ,2018-10-30,한식
일반음식점,똘비족발,"서울특별시 동대문구 장한로20길 30, 1층 (장안동)",서울특별시 동대문구 장안동 347-7 ,2014-11-20,한식
일반음식점,톡톡,서울특별시 동대문구 답십리로72길 66 (장안동),서울특별시 동대문구 장안동 338-8 ,2019-04-08,기타
일반음식점,푸라닭 장안1호점,"서울특별시 동대문구 한천로 264, 1층 106호 (휘경동)",서울특별시 동대문구 휘경동 57-1 ,2021-01-28,통닭(치킨)
일반음식점,리진,"서울특별시 동대문구 전농로 105, 2층 (답십리동)",서울특별시 동대문구 답십리동 99-20 ,2018-09-03,중국식
일반음식점,보르조미음식점,"서울특별시 동대문구 천호대로83길 98, 지하1층 (장안동)",서울특별시 동대문구 장안동 429-1 지하1층 ,2015-01-02,호프/통닭
일반음식점,원조멸치국수,"서울특별시 동대문구 답십리로 303, 1층 (장안동)",서울특별시 동대문구 장안동 331-2 1층 ,2018-03-27,한식
일반음식점,한솥도시락 휘경주공점,서울특별시 동대문구 사가정로25길 21 (장안동),서울특별시 동대문구 장안동 98-3 ,2016-09-30,김밥(도시락)
일반음식점,커피메소드,"서울특별시 동대문구 회기로21길 34, 2층 (회기동)",서울특별시 동대문구 회기동 25 ,2017-09-25,까페
일반음식점,앵춘,"서울특별시 동대문구 경희대로1길 8-8, 1층 (회기동)",서울특별시 동대문구 회기동 42-37 1층 ,2022-02-28,한식
일반음식점,마산집,서울특별시 동대문구 왕산로30길 15 (용두동),서울특별시 동대문구 용두동 20-92 ,2015-11-11,한식
일반음식점,경동한우,"서울특별시 동대문구 고산자로 421, 1층 (용두동)",서울특별시 동대문구 용두동 45-1 ,2018-01-29,냉면집
일반음식점,지니어스아이씨엘,서울특별시 동대문구 사가정로13길 3 (전농동),서울특별시 동대문구 전농동 295-16 ,2015-01-22,까페
일반음식점,노가리,서울특별시 동대문구 한천로 182 (장안동),서울특별시 동대문구 장안동 118-41 ,2015-01-26,호프/통닭
일반음식점,설맥,서울특별시 동대문구 전농로37길 5 (전농동),서울특별시 동대문구 전농동 103-332 ,2018-08-14,한식
일반음식점,글라라스푼,"서울특별시 동대문구 이문로 66, 1층 (이문동)",서울특별시 동대문구 이문동 338-3 ,2016-02-03,기타
일반음식점,일차돌회기점,"서울특별시 동대문구 망우로21길 52, C동 1층 (휘경동)",서울특별시 동대문구 휘경동 192-5 ,2015-02-10,한식
일반음식점,대광횟집,서울특별시 동대문구 답십리로 90-1 (답십리동),서울특별시 동대문구 답십리동 473-14 ,2015-02-11,일식
일반음식점,봉구비어,"서울특별시 동대문구 전농로 233-1, 2층 (전농동)",서울특별시 동대문구 전농동 103-351 ,2015-02-12,호프/통닭
일반음식점,한우천국,"서울특별시 동대문구 장한로 96, 1층 (장안동)",서울특별시 동대문구 장안동 365-8 ,2015-02-13,식육(숯불구이)
일반음식점,이상준초밥,"서울특별시 동대문구 휘경로 12, 1층 (이문동)",서울특별시 동대문구 이문동 305-59 ,2016-08-01,일식
일반음식점,뉴델리,"서울특별시 동대문구 경희대로6길 5, 2층 (회기동)",서울특별시 동대문구 회기동 3-182 ,2015-02-16,기타
일반음식점,천주식당,"서울특별시 동대문구 천호대로4길 21, 빨강동 1층 20호 (신설동)",서울특별시 동대문구 신설동 109-5 ,2015-02-17,호프/통닭
