업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명,데이터기준일자
일반음식점,1997-08-09,토속보리밭,"서울특별시 양천구 신월로15길 15, 103호 (신월동, 세제뉴타운A상가)",서울특별시 양천구 신월동 529-2 세제뉴타운A상가 103호,99.75,한식,2022-09-30
일반음식점,1997-10-09,청수,서울특별시 양천구 곰달래로5길 47 (신월동),서울특별시 양천구 신월동 137-21 ,55.93,한식,2022-09-30
일반음식점,1997-10-14,황소곱창구이,"서울특별시 양천구 중앙로 292-1 (신정동,1층(강서로 621))",서울특별시 양천구 신정동 971-19 1층(강서로 621) ,73.92,한식,2022-09-30
일반음식점,1997-10-29,양천뼈다귀,"서울특별시 양천구 목동동로 258, 지상1층 101~104호 (목동,  금호아파트 근린생활시설)",서울특별시 양천구 목동 934 금호아파트 근린생활시설 지상1층 101~104호,133.92,한식,2022-09-30
일반음식점,1997-10-30,치킨주막,서울특별시 양천구 남부순환로77길 20 (신월동),서울특별시 양천구 신월동 544-2 ,70.32,호프/통닭,2022-09-30
일반음식점,1997-06-16,부부쿡,서울특별시 양천구 남부순환로71길 7 (신월동),서울특별시 양천구 신월동 436-7 ,55.25,중국식,2022-09-30
일반음식점,1997-10-02,야래향,서울특별시 양천구 목동중앙서로 46 (목동),서울특별시 양천구 목동 799-5 ,87.92,중국식,2022-09-30
일반음식점,1997-10-17,모모일식,"서울특별시 양천구 목동서로 213 (목동,세신409호)",서울특별시 양천구 목동 923-0 세신409호 ,79.63,일식,2022-09-30
일반음식점,1997-12-05,콩심 신정네거리점,"서울특별시 양천구 중앙로 290, 1층 (신정동)",서울특별시 양천구 신정동 971-15 ,67.36,,2022-09-30
일반음식점,1997-02-24,토크쇼,"서울특별시 양천구 목동중앙남로3길 65, 1층 (목동)",서울특별시 양천구 목동 782-2 ,28.36,호프/통닭,2022-09-30
일반음식점,1997-03-06,장수식당,"서울특별시 양천구 지양로14길 6, 지하1층 1호 (신월동)",서울특별시 양천구 신월동 922-10 지하1층 1호,36.87,기타,2022-09-30
일반음식점,1997-03-22,태능숯불갈비,서울특별시 양천구 목동동로8길 21-3 (신정동),서울특별시 양천구 신정동 294-57 ,39.6,한식,2022-09-30
일반음식점,1997-04-15,돌솥바베큐,서울특별시 양천구 곰달래로5길 22-1 (신월동),서울특별시 양천구 신월동 110-29 ,25.28,한식,2022-09-30
일반음식점,1997-04-29,제이(J),"서울특별시 양천구 목동동로 262, 지하1층 (목동)",서울특별시 양천구 목동 406-205 ,62.61,호프/통닭,2022-09-30
일반음식점,1997-05-09,닥터스,서울특별시 양천구 목동중앙북로7가길 16 (목동),서울특별시 양천구 목동 609-13 지하 1층 ,87.86,호프/통닭,2022-09-30
일반음식점,1997-06-26,쿡엉클박치킨,서울특별시 양천구 목동중앙본로 109 (목동),서울특별시 양천구 목동 497-1 ,28.69,통닭(치킨),2022-09-30
일반음식점,1997-07-03,종로김밥,서울특별시 양천구 목동동로12길 52 (신정동),서울특별시 양천구 신정동 119-6 ,22.68,김밥(도시락),2022-09-30
일반음식점,1997-07-18,와그너치킨,"서울특별시 양천구 목동서로2길 22, 1층 6~8, 25~26호 (목동, 한신청구아파트)",서울특별시 양천구 목동 929 한신청구아파트 ,41,통닭(치킨),2022-09-30
